route_id,top_n,min_route_score,min_breadth,max_leader_conc,max_gt7_ratio,require_preheat,selector_score,score_min,score_median,score_mean,internal_a_day2_avg_close_return_pct,internal_b_day2_avg_close_return_pct,internal_a_day2_still_loss_rate,internal_b_day2_still_loss_rate,internal_a_avg_filter_universe,internal_b_avg_filter_universe
tn12_s0.50_b0.10_c30_g0.12_nopreheat,12,0.5,0.1,30.0,0.12,False,42.149357,39.6121,44.2146,45.394633,1.4871,-0.896,0.5429,0.5714,55.29,42.86
tn12_s0.50_b0.15_c30_g0.12_nopreheat,12,0.5,0.15,30.0,0.12,False,42.149357,39.6121,44.2146,45.394633,1.4871,-0.896,0.5429,0.5714,55.29,42.86
tn12_s0.50_b0.20_c30_g0.12_nopreheat,12,0.5,0.2,30.0,0.12,False,42.149357,39.6121,44.2146,45.394633,1.4871,-0.896,0.5429,0.5714,55.29,42.86
tn16_s0.50_b0.10_c30_g0.12_nopreheat,16,0.5,0.1,30.0,0.12,False,42.149357,39.6121,44.2146,45.394633,1.4871,-0.896,0.5429,0.5714,55.29,42.86
tn16_s0.50_b0.15_c30_g0.12_nopreheat,16,0.5,0.15,30.0,0.12,False,42.149357,39.6121,44.2146,45.394633,1.4871,-0.896,0.5429,0.5714,55.29,42.86
tn16_s0.50_b0.20_c30_g0.12_nopreheat,16,0.5,0.2,30.0,0.12,False,42.149357,39.6121,44.2146,45.394633,1.4871,-0.896,0.5429,0.5714,55.29,42.86
tn20_s0.50_b0.10_c30_g0.12_nopreheat,20,0.5,0.1,30.0,0.12,False,42.149357,39.6121,44.2146,45.394633,1.4871,-0.896,0.5429,0.5714,55.29,42.86
tn20_s0.50_b0.15_c30_g0.12_nopreheat,20,0.5,0.15,30.0,0.12,False,42.149357,39.6121,44.2146,45.394633,1.4871,-0.896,0.5429,0.5714,55.29,42.86
tn20_s0.50_b0.20_c30_g0.12_nopreheat,20,0.5,0.2,30.0,0.12,False,42.149357,39.6121,44.2146,45.394633,1.4871,-0.896,0.5429,0.5714,55.29,42.86
tn12_s0.50_b0.10_c35_g0.18_preheat,12,0.5,0.1,35.0,0.18,True,41.89733,37.353,46.9941,45.613,2.1525,-2.0794,0.3611,0.6364,55.53,52.59
tn12_s0.50_b0.15_c35_g0.18_preheat,12,0.5,0.15,35.0,0.18,True,41.89733,37.353,46.9941,45.613,2.1525,-2.0794,0.3611,0.6364,55.53,52.59
tn12_s0.50_b0.20_c35_g0.18_preheat,12,0.5,0.2,35.0,0.18,True,41.89733,37.353,46.9941,45.613,2.1525,-2.0794,0.3611,0.6364,55.53,52.59
